elapsed_millisecs; head_x; head_y; head_z; hand_tip_right_x; hand_tip_right_y; hand_tip_right_z; thumb_right_x; thumb_right_y; thumb_right_z; hand_right_x; hand_right_y; hand_right_z; wrist_right_x; wrist_right_y; wrist_right_z; elbow_right_x; elbow_right_y; elbow_right_z; shoulder_right_x; shoulder_right_y; shoulder_right_z; spine_shoulder_x; spine_shoulder_y; spine_shoulder_z; neck_x; neck_y; neck_z; shoulder_left_x; shoulder_left_y; shoulder_left_z; elbow_left_x; elbow_left_y; elbow_left_z; wrist_left_x; wrist_left_y; wrist_left_z; hand_left_x; hand_left_y; hand_left_z; hand_tip_left_x; hand_tip_left_y; hand_tip_left_z; thumb_left_x; thumb_left_y; thumb_left_z; spine_mid_x; spine_mid_y; spine_mid_z; spine_base_x; spine_base_y; spine_base_z; hip_right_x; hip_right_y; hip_right_z; hip_left_x; hip_left_y; hip_left_z; knee_right_x; knee_right_y; knee_right_z; knee_left_x; knee_left_y; knee_left_z; ankle_right_x; ankle_right_y; ankle_right_z; ankle_left_x; ankle_left_y; ankle_left_z; foot_right_x; foot_right_y; foot_right_z; foot_left_x; foot_left_y; foot_left_z;
16; 0,1207223; 0,9210136; 1,864358; 0,3217183; 0,6548852; 1,688693; ; ; ; 0,3102532; 0,5783215; 1,723002; 0,3211131; 0,5149646; 1,752995; 0,3239453; 0,346281; 1,862328; 0,2751822; 0,5752817; 1,82656; 0,1033829; 0,6690629; 1,856748; 0,103448; 0,7510244; 1,855873; -0,06354846; 0,5974565; 1,799273; -0,1403499; 0,3662118; 1,859856; -0,09791903; 0,5487357; 1,689752; -0,09216259; 0,615096; 1,710942; -0,1052121; 0,6825158; 1,694428; -0,03442154; 0,5997856; 1,757758; 0,1027664; 0,413307; 1,850324; 0,1018353; 0,05654764; 1,831493; 0,1811464; 0,0529612; 1,789889; 0,01788957; 0,05742672; 1,788963; 0,1878901; -0,4300096; 1,810579; 0,01958936; -0,4374563; 1,808097; 0,1562189; -0,7758972; 1,82107; 0,008163986; -0,778958; 1,812103; 0,1578363; -0,828859; 1,722506; -0,004072443; -0,8268366; 1,708497; 
49; 0,1208492; 0,921001; 1,864281; 0,3216273; 0,6548606; 1,689212; ; ; ; 0,3100786; 0,5786905; 1,722608; 0,3211231; 0,5149815; 1,752986; 0,3239156; 0,3465326; 1,862151; 0,2752662; 0,5754815; 1,827093; 0,103431; 0,6690286; 1,856609; 0,1034957; 0,750974; 1,855714; -0,06348142; 0,5975551; 1,799191; -0,1403464; 0,3662205; 1,85985; -0,09787947; 0,5485705; 1,689702; -0,09158878; 0,6156273; 1,711287; -0,1014101; 0,6826921; 1,694803; -0,02523035; 0,5963301; 1,751107; 0,1028093; 0,4133093; 1,850239; 0,1018577; 0,05657832; 1,831446; 0,1811624; 0,05299518; 1,789838; 0,01791532; 0,05745724; 1,788917; 0,1878723; -0,4292463; 1,810482; 0,01956488; -0,43704; 1,808002; 0,1561225; -0,7757841; 1,821058; 0,008295232; -0,7787886; 1,812169; 0,1578058; -0,8286451; 1,723258; -0,00403565; -0,8268302; 1,708549; 
82; 0,1209978; 0,9210211; 1,864128; 0,3204805; 0,654382; 1,688097; ; ; ; 0,3098791; 0,5781099; 1,722852; 0,3211525; 0,5149826; 1,752931; 0,3238614; 0,3464949; 1,862048; 0,275301; 0,5757462; 1,827634; 0,1034775; 0,6689973; 1,856485; 0,1035379; 0,7509293; 1,855573; -0,06347221; 0,5975829; 1,799164; -0,1402515; 0,3661024; 1,859831; -0,09800725; 0,5482822; 1,689639; -0,09178587; 0,6151531; 1,712424; -0,1044784; 0,6780111; 1,692436; -0,02896879; 0,5985004; 1,754763; 0,102861; 0,4133098; 1,85016; 0,1018988; 0,05660612; 1,831401; 0,1811905; 0,05303483; 1,789809; 0,01797017; 0,05747469; 1,788849; 0,1878718; -0,4286081; 1,810514; 0,01962626; -0,4370543; 1,807966; 0,1562165; -0,7756202; 1,821173; 0,008681238; -0,7788891; 1,812344; 0,1575011; -0,8287444; 1,723708; -0,004065213; -0,8268124; 1,708561; 
116; 0,1210468; 0,9210129; 1,864105; 0,3213302; 0,6549267; 1,689737; ; ; ; 0,309996; 0,5782933; 1,722774; 0,3211537; 0,5149134; 1,752923; 0,3237627; 0,3465374; 1,861939; 0,2755835; 0,5754009; 1,828067; 0,1034926; 0,6688995; 1,856356; 0,1035433; 0,7508243; 1,855432; -0,06339284; 0,5975291; 1,799064; -0,1393581; 0,3685998; 1,856644; -0,1180445; 0,5978442; 1,704302; -0,09225369; 0,6154112; 1,712253; -0,1015745; 0,6782839; 1,693378; -0,03184668; 0,6036948; 1,757308; 0,1028973; 0,4132316; 1,850069; 0,1019373; 0,0565457; 1,831342; 0,1812213; 0,05298974; 1,789774; 0,0180102; 0,0574066; 1,788763; 0,1878501; -0,4282416; 1,810536; 0,01983812; -0,4382836; 1,807965; 0,1562204; -0,7756056; 1,821167; 0,008753593; -0,7791799; 1,812159; 0,1573065; -0,8287874; 1,724404; -0,004844012; -0,8280072; 1,705708; 
148; 0,1211466; 0,9209605; 1,864016; 0,3215946; 0,6547092; 1,689443; ; ; ; 0,310148; 0,5785349; 1,722591; 0,3211871; 0,5148703; 1,752918; 0,3237648; 0,3465559; 1,861867; 0,2756631; 0,5755802; 1,828423; 0,1033417; 0,6691095; 1,856929; 0,1032982; 0,7511082; 1,856237; -0,06335296; 0,5975758; 1,799034; -0,1393833; 0,36848; 1,856833; -0,1000711; 0,555635; 1,69106; -0,09317305; 0,6153687; 1,712039; -0,1009691; 0,6808451; 1,693385; -0,03170605; 0,6002887; 1,756483; 0,1029037; 0,4132895; 1,850196; 0,1020088; 0,05654301; 1,831288; 0,1812865; 0,05298526; 1,789759; 0,01808699; 0,05741149; 1,788651; 0,1877714; -0,4286552; 1,810552; 0,019847; -0,4378573; 1,807882; 0,1561525; -0,7756318; 1,821154; 0,008748225; -0,7790442; 1,812039; 0,1573264; -0,8290122; 1,724486; -0,004694847; -0,8277982; 1,706304; 
182; 0,1212716; 0,9209349; 1,863851; 0,3211576; 0,6546505; 1,688412; ; ; ; 0,3098794; 0,5784288; 1,722693; 0,3212122; 0,5148485; 1,752853; 0,3237236; 0,3464209; 1,861761; 0,2757721; 0,5754511; 1,82866; 0,103169; 0,6692482; 1,857255; 0,1030663; 0,7512996; 1,856675; -0,06320301; 0,5976663; 1,798834; -0,1392889; 0,3682443; 1,856958; -0,1001446; 0,5533333; 1,690597; -0,0943483; 0,6215389; 1,711883; -0,1091582; 0,6820819; 1,689769; -0,03834125; 0,6084787; 1,756719; 0,1028647; 0,4133143; 1,850271; 0,1020155; 0,05651245; 1,831249; 0,1812922; 0,05296096; 1,789714; 0,01809187; 0,05738021; 1,788619; 0,1878192; -0,4288048; 1,810506; 0,01985684; -0,4378774; 1,807861; 0,1561808; -0,7759064; 1,821633; 0,008654504; -0,7792223; 1,812041; 0,1573399; -0,8291411; 1,724492; -0,004642626; -0,8278898; 1,70608; 
216; 0,1213128; 0,9209182; 1,863768; 0,3228539; 0,6547335; 1,687739; ; ; ; 0,3098327; 0,5786235; 1,722576; 0,3212225; 0,5148172; 1,752803; 0,3236384; 0,3462605; 1,861718; 0,275816; 0,5755734; 1,82881; 0,1033107; 0,6690236; 1,856759; 0,1032462; 0,7509748; 1,855999; -0,06317419; 0,5977011; 1,798772; -0,1391037; 0,3677366; 1,857018; -0,1001628; 0,551084; 1,689807; -0,0948753; 0,6186724; 1,710868; -0,1049675; 0,6831816; 1,695834; -0,03234027; 0,6011899; 1,755928; 0,1029295; 0,4132716; 1,850114; 0,102031; 0,05653529; 1,831231; 0,1813076; 0,05300048; 1,789686; 0,01810473; 0,0573923; 1,788609; 0,187851; -0,4272706; 1,810215; 0,01971582; -0,4376069; 1,807798; 0,1560134; -0,775604; 1,821732; 0,008643999; -0,7792174; 1,812042; 0,1571098; -0,8285948; 1,725591; -0,004646182; -0,8278875; 1,70608; 
282; 0,1213054; 0,9209141; 1,863398; 0,3208915; 0,6534942; 1,685588; ; ; ; 0,3093356; 0,5776784; 1,72007; 0,3211574; 0,5146948; 1,752583; 0,3234321; 0,3462875; 1,861259; 0,2758511; 0,5755281; 1,828858; 0,1032074; 0,6689225; 1,856007; 0,103109; 0,7508708; 1,855075; -0,06317649; 0,5977023; 1,798766; -0,1391356; 0,3675331; 1,857306; -0,1007169; 0,5516061; 1,689811; -0,09525988; 0,6179876; 1,709024; -0,1043768; 0,6821784; 1,693847; -0,02978333; 0,5997858; 1,75499; 0,1029082; 0,4131842; 1,849762; 0,1020485; 0,05646563; 1,831136; 0,1813222; 0,05285395; 1,78957; 0,01812115; 0,05737966; 1,788526; 0,1877976; -0,429765; 1,8101; 0,01969126; -0,437666; 1,80772; 0,156332; -0,7782406; 1,81907; 0,008548897; -0,7791741; 1,81194; 0,1574791; -0,8314043; 1,720642; -0,004692183; -0,8279213; 1,705988; 
314; 0,1213759; 0,9209099; 1,863152; 0,3203305; 0,6532145; 1,685962; ; ; ; 0,3091986; 0,577383; 1,719976; 0,321166; 0,5144822; 1,752343; 0,3233615; 0,3462608; 1,861147; 0,2758682; 0,5754986; 1,82896; 0,1030159; 0,6691294; 1,856407; 0,1028559; 0,7511466; 1,855652; -0,0632034; 0,5977257; 1,798751; -0,1391909; 0,3673405; 1,857384; -0,1153776; 0,6003104; 1,70625; -0,09615919; 0,6248699; 1,711667; -0,1046875; 0,6828412; 1,695377; -0,04307761; 0,6241746; 1,769278; 0,1028565; 0,4132429; 1,84983; 0,1020418; 0,05646827; 1,831051; 0,1813034; 0,05287953; 1,789377; 0,01811958; 0,05737602; 1,788507; 0,1878357; -0,4279912; 1,809864; 0,01971158; -0,4377516; 1,80769; 0,1561791; -0,7779862; 1,819307; 0,008515603; -0,7792877; 1,811757; 0,1575026; -0,8307249; 1,722678; -0,004686662; -0,8279291; 1,705916; 
348; 0,1213813; 0,9209855; 1,863036; 0,3191468; 0,6564142; 1,688609; ; ; ; 0,3128374; 0,5776843; 1,716905; 0,3358284; 0,5462478; 1,702191; 0,3232293; 0,346175; 1,861085; 0,2757559; 0,5756686; 1,829203; 0,1028635; 0,6693215; 1,856811; 0,1026657; 0,7513759; 1,856188; -0,06319022; 0,5977939; 1,798768; -0,1392301; 0,3673226; 1,857421; -0,107354; 0,5935558; 1,700271; -0,0991774; 0,6303984; 1,711025; -0,1103342; 0,6839781; 1,693976; -0,04270795; 0,6184986; 1,766767; 0,1028055; 0,4133312; 1,849937; 0,1020406; 0,0564954; 1,83101; 0,1812938; 0,05292287; 1,789328; 0,01812324; 0,05739159; 1,788473; 0,1878468; -0,4280629; 1,809898; 0,01955649; -0,4370061; 1,807615; 0,1561522; -0,7779817; 1,819296; 0,008461219; -0,7792556; 1,811735; 0,1574272; -0,8307062; 1,723364; -0,004974223; -0,8280359; 1,706196; 
